#{"t_start": 1733937062.671616, "env_id": "CartPole-v1"}
r,l,t
38.0,38,0.70012
18.0,18,0.710676
29.0,29,0.727068
18.0,18,0.737527
16.0,16,0.745449
19.0,19,0.756806
19.0,19,0.76618
10.0,10,0.771745
27.0,27,0.784098
16.0,16,0.791404
31.0,31,0.806945
38.0,38,0.824541
34.0,34,0.839911
75.0,75,0.874367
128.0,128,0.952518
71.0,71,0.990911
134.0,134,1.066513
26.0,26,1.078387
194.0,194,1.17016
205.0,205,1.28482
110.0,110,1.369232
69.0,69,1.535769
473.0,473,1.768891
500.0,500,2.083217
241.0,241,2.26905
248.0,248,2.422098
297.0,297,2.649121
116.0,116,3.022913
139.0,139,3.10817
461.0,461,3.406383
500.0,500,3.677636
239.0,239,3.798704
500.0,500,4.0401
500.0,500,4.310136
500.0,500,4.54149
500.0,500,5.082874
500.0,500,5.34603
500.0,500,5.787733
500.0,500,6.195631
500.0,500,6.611989
326.0,326,6.809367
500.0,500,7.177296
151.0,151,7.449014
126.0,126,7.507978
131.0,131,7.574326
137.0,137,7.641464
170.0,170,7.732727
174.0,174,7.812241
143.0,143,7.880518
154.0,154,7.957341
142.0,142,8.045628
130.0,130,8.109824
185.0,185,8.196065
158.0,158,8.269442
159.0,159,8.385903
125.0,125,8.450244
76.0,76,8.486911
97.0,97,8.533754
77.0,77,8.568599
226.0,226,8.6734
149.0,149,8.747026
98.0,98,8.792606
133.0,133,8.854393
94.0,94,8.89494
81.0,81,8.938687
