#{"t_start": 1733935512.1648371, "env_id": "CartPole-v1"}
r,l,t
25.0,25,0.865705
25.0,25,0.949543
18.0,18,0.990166
63.0,63,1.107381
30.0,30,1.156962
116.0,116,1.304134
322.0,322,1.706091
229.0,229,2.141453
177.0,177,2.398738
324.0,324,2.881193
238.0,238,3.166417
383.0,383,3.630666
288.0,288,4.055396
500.0,500,4.733966
160.0,160,4.929808
140.0,140,5.13999
180.0,180,5.50276
500.0,500,6.346367
500.0,500,6.945312
500.0,500,7.589127
500.0,500,8.154169
500.0,500,8.70617
500.0,500,9.344288
500.0,500,10.510274
500.0,500,11.43953
500.0,500,12.34796
500.0,500,13.2777
500.0,500,14.216229
500.0,500,14.977526
500.0,500,16.043605
500.0,500,16.921983
500.0,500,17.855788
500.0,500,18.572076
500.0,500,19.228422
500.0,500,19.797878
